sickle_address,user_wallet
0xbbbb72a9c3ebfb8d2061713f7a1365e756afb8dc,0xbbbb72a9c3ebfb8d2061713f7a1365e756afb8dc
0x1f864a883ee9135741417ab01f106c47d0965c69,0x1f864a883ee9135741417ab01f106c47d0965c69
0xd4a22c86cbcac289823df4b23833bee93fc880c4,0xd4a22c86cbcac289823df4b23833bee93fc880c4
0xbcd9c0a8c034d14115860812e15c5b9c11f77090,0xbcd9c0a8c034d14115860812e15c5b9c11f77090
0xaba6046c1e30c8e6f736a67ff49a90e7f5bdbbf9,0xaba6046c1e30c8e6f736a67ff49a90e7f5bdbbf9
0x8038d6c5a05741340b58057e959707446d3b39c9,0x8038d6c5a05741340b58057e959707446d3b39c9
0x2eead984cf03757c5cf88930603e766d7768ffe5,0x2eead984cf03757c5cf88930603e766d7768ffe5
0x488be5ded711572f9fb8568f3013e6e907506b6f,0x488be5ded711572f9fb8568f3013e6e907506b6f
0x3f1c68b37522e0771e26d678c82a4c66f83e3589,0x3f1c68b37522e0771e26d678c82a4c66f83e3589
0x3986041fed8c3b7cd04173d7262c0352f11e7b8d,0x3986041fed8c3b7cd04173d7262c0352f11e7b8d
0xd1ff062cddaf2c0dbb117e4c5cd2df33b0e2bf2e,0xd1ff062cddaf2c0dbb117e4c5cd2df33b0e2bf2e
0x21bfa4d9971068c9ff642ae23c858778f3cb33a1,0x21bfa4d9971068c9ff642ae23c858778f3cb33a1
0xc3e5789beec7f018cb983db2a673d603c7168f54,0xc3e5789beec7f018cb983db2a673d603c7168f54
0x38b11aa05546822c252176971cb305d60d382e41,0x38b11aa05546822c252176971cb305d60d382e41
0x5e335d99f2dea4cf55c20e00b3b281ed9c8aeef1,0x5e335d99f2dea4cf55c20e00b3b281ed9c8aeef1
0x97c3006fc57fadde7db2eab5720a0288e7427e71,0x97c3006fc57fadde7db2eab5720a0288e7427e71
0x43e60e5c2f4b9e83ee80ec2243c5e8e864fb262e,0x43e60e5c2f4b9e83ee80ec2243c5e8e864fb262e
